Unnamed: 0,address,categories/0,categories/1,categories/2,categories/3,categories/4,categoryName,name,publishedAtDate,text,translatedLanguage,category,predicted_category_enhanced,confidence_enhanced
1,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Edgar,2025-08-27T11:31:55.424Z,"Learn about their history, customs, and how they lived!",en,,authentic,0.4048747718334198
3,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Cecilia Figueroa,2025-08-27T03:40:13.279Z,"If you like the history of Mexico or in general, it is a good idea to come here and even more if you like walking, since the entrance is very high and it is a long stretch, but it is a very nice museum with a lot of history behind it, there are many places for nice photos, on Sundays there are a lot of people because it is free, I recommend going during the week to take better advantage and see everything better.",en,,authentic,0.4195915758609772
7,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Luis Spirit,2025-08-26T23:49:24.207Z,"Excellent place to visit with the family, enjoy the history and the scenery",en,,authentic,0.4138587713241577
8,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Juliana Rosenhave,2025-08-26T22:59:59.030Z,It's extremely touristy but worth it. Great views of the city.,,,never-visited,0.3472678065299988
9,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,DANIEL,2025-08-26T21:57:10.257Z,spectacular beyond words.,en,,authentic,0.3918609917163849
11,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Jose Luis Flores,2025-08-26T21:20:36.730Z,"Reasonably well maintained, despite government budget restrictions. A must-see for anyone wishing to understand the origins of our nation.",en,,authentic,0.28298330307006836
14,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Corky Jordan,2025-08-26T17:30:22.328Z,✌🏽,,,authentic,0.65
17,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Angel Aguilera,2025-08-26T06:36:08.906Z,"A beautiful place, the views are unmissable",en,,authentic,0.4263601303100586
19,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Miriel Malvaez,2025-08-26T04:34:29.320Z,One of the best museums I've been to✨✨,en,,authentic,0.6100376844406128
20,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Arantza Noriega,2025-08-26T03:21:58.974Z,It is a very nice place to visit with the family,en,,authentic,0.488202303647995
21,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Emiliano Hernández,2025-08-26T02:06:52.026Z,"Excellent food, service and nice place",en,,authentic,0.5349137187004089
22,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Adrià Lladó Mendoza,2025-08-25T23:38:43.659Z,Amazing castle,,,authentic,0.85
30,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Norwihn Cermeño,2025-08-25T03:27:18.756Z,Beautiful place,en,,authentic,0.85
32,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,C,2025-08-25T02:36:14.309Z,"It's very crowded on weekends, especially in the afternoon. Therefore, I recommend going early in the morning. The path to the garden at the top (on the last floor) isn't very well signposted, so you'll have to look carefully.",en,,authentic,0.85
35,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,jonathan salguero,2025-08-24T21:38:44.022Z,Beautiful,en,,authentic,0.85
36,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Alma,2025-08-24T21:37:30.516Z,"On weekends, it's so crowded that you can't really see all the rooms, but everything looks great outside. Plus, admission is free on Sundays.",en,,authentic,0.9249999999999999
38,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Alex Bourguet,2025-08-24T20:01:46.528Z,A journey through the history of Mexico.,en,,authentic,0.2886500656604767
39,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,José Manuel Palafox Palacios,2025-08-24T19:52:34.443Z,A great experience on the tour,en,,authentic,0.7609640955924988
43,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Hennadii Nikandrov,2025-08-24T16:36:31.409Z,Superb,,,authentic,0.85
45,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Leydi Ortiz,2025-08-24T07:22:51.006Z,"A beautiful place steeped in history. Its gardens and facilities in general are superb, well-maintained, and preserved. However, it's crowded every weekend. I highly recommend visiting if you're in Mexico City.",en,,authentic,0.8999999999999999
46,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Antonio C (Dammed Poet),2025-08-24T06:37:55.348Z,In the surroundings there are little frequented and very beautiful places like this one,en,,authentic,0.430204838514328
49,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Eligio Reyes,2025-08-24T01:49:11.009Z,Excellent,en,,authentic,0.85
51,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Jossa Tutankamon,2025-08-23T22:20:50.147Z,"A wonderful place, full of culture and rich in history. I recommend you experience this wonderful place.",en,,authentic,0.7999999999999999
53,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,Carlos Campos,2025-08-23T19:49:11.673Z,"I liked it but I expected a little more.
The anthropology one is better.",en,,inappropriate,0.2529676556587219
55,"Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Mexico City, Mexico",Castle,Historical landmark,Historical place museum,Museum,Tourist attraction,Castle,victor manuel Herrera,2025-08-23T18:06:54.589Z,They took me as a child and today...I took my children...simply wonderful,en,,authentic,0.9502446055412292
