,text,dominant_topics,dominant_topics_words
0,"Learn about their history, customs, and how they lived!",[],
1,"If you like the history of Mexico or in general, it is a good idea to come here and even more if you like walking, since the entrance is very high and it is a long stretch, but it is a very nice museum with a lot of history behind it, there are many places for nice photos, on Sundays there are a lot of people because it is free, I recommend going during the week to take better advantage and see everything better.","[5, 7, 10, 14]","closed, interesting, noisy, horrible, favorite, food, service, bad, tacos, order, pretty, negative, cdmx, delivery, positive, service, fast, delicious, food, good"
2,"Excellent place to visit with the family, enjoy the history and the scenery","[0, 1, 4]","good, beautiful, place, eat, service, love, recommended, highly, expensive, fine, parking, de, casa, dishes, good"
3,It's extremely touristy but worth it. Great views of the city.,"[10, 13, 14]","pretty, negative, cdmx, delivery, positive, city, mexico, center, beautiful, historic, service, fast, delicious, food, good"
4,spectacular beyond words.,[],
5,"Reasonably well maintained, despite government budget restrictions. A must-see for anyone wishing to understand the origins of our nation.",[],
6,âð½,[],
7,"A beautiful place, the views are unmissable","[3, 4]","beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good"
8,One of the best museums I've been toâ¨â¨,[14],"service, fast, delicious, food, good"
9,It is a very nice place to visit with the family,"[4, 5, 10]","parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite, pretty, negative, cdmx, delivery, positive"
10,"Excellent food, service and nice place","[1, 4, 8, 9]","love, recommended, highly, expensive, fine, parking, de, casa, dishes, good, place, wonderful, visit, castle, great, toos, house, super, serve, quickly"
11,Amazing castle,[],
12,Beautiful place,"[3, 4]","beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good"
13,"It's very crowded on weekends, especially in the afternoon. Therefore, I recommend going early in the morning. The path to the garden at the top (on the last floor) isn't very well signposted, so you'll have to look carefully.","[0, 5]","good, beautiful, place, eat, service, closed, interesting, noisy, horrible, favorite"
14,Beautiful,[3],"beautiful, cathedral, history, incredible, many"
15,"On weekends, it's so crowded that you can't really see all the rooms, but everything looks great outside. Plus, admission is free on Sundays.","[10, 12, 13]","pretty, negative, cdmx, delivery, positive, hotel, location, view, staff, great, city, mexico, center, beautiful, historic"
16,A journey through the history of Mexico.,[14],"service, fast, delicious, food, good"
17,A great experience on the tour,[13],"city, mexico, center, beautiful, historic"
18,Superb,[],
19,"A beautiful place steeped in history. Its gardens and facilities in general are superb, well-maintained, and preserved. However, it's crowded every weekend. I highly recommend visiting if you're in Mexico City.",[14],"service, fast, delicious, food, good"
20,In the surroundings there are little frequented and very beautiful places like this one,"[3, 5]","beautiful, cathedral, history, incredible, many, closed, interesting, noisy, horrible, favorite"
21,Excellent,[1],"love, recommended, highly, expensive, fine"
22,"A wonderful place, full of culture and rich in history. I recommend you experience this wonderful place.","[4, 14]","parking, de, casa, dishes, good, service, fast, delicious, food, good"
23,"I liked it but I expected a little more.
The anthropology one is better.",[10],"pretty, negative, cdmx, delivery, positive"
24,They took me as a child and today...I took my children...simply wonderful,[],
25,They didn't let us in on Wednesdays at the museums. I think they shouldn't hold events if a lot of people are going to attend; they fill the place up and don't give everyone a chance.,[7],"food, service, bad, tacos, order"
26,"It's beautiful, but not suitable for people with a condition that prevents them from walking far. The entrance is disorganized, and there are no guides you can hire to explain the details.
I don't recommend going on the weekend; it's too crowded.","[7, 10]","food, service, bad, tacos, order, pretty, negative, cdmx, delivery, positive"
27,The tour of Chapultepec Castle is absolutely worth it. Beautiful.,"[3, 10]","beautiful, cathedral, history, incredible, many, pretty, negative, cdmx, delivery, positive"
28,"The place is very pretty, but the hard part is the climb. I thought there was a train that took you up, but I went on a Wednesday and it wasn't there.
Bring a headcover because the heat is intense.","[0, 10]","good, beautiful, place, eat, service, pretty, negative, cdmx, delivery, positive"
29,Incredible castle with the elegance  and beauty  of Versailles,[14],"service, fast, delicious, food, good"
30,Beautiful architecture ð¥°ð¥°,[3],"beautiful, cathedral, history, incredible, many"
31,Very nice castle,[5],"closed, interesting, noisy, horrible, favorite"
32,"The culture, history, and beauty of this place are priceless. I've been there at least five times and always learn new and interesting facts. It's magnificent.",[14],"service, fast, delicious, food, good"
33,"The castle is spectacular, a whole story of emperor-level luxury, going back in time, it's majestic from every angle!",[],
34,This is my second time visiting the castle. It's spectacular. Every Mexican should definitely visit Chapultepec Castle at least once in their life.,[],
35,A place everyone should visit when coming to Mexico City !,"[4, 14]","parking, de, casa, dishes, good, service, fast, delicious, food, good"
36,must see,[],
37,"They don't let water in, and the queue for the bathroom was very long. Everything else was very nice.","[5, 6, 12]","closed, interesting, noisy, horrible, favorite, nice, great, amazing, place, food, hotel, location, view, staff, great"
38,"Very tidy and clean. Don't bring food in because they won't let you in, not even with chewing gum.","[5, 7]","closed, interesting, noisy, horrible, favorite, food, service, bad, tacos, order"
39,"A castle in excellent condition with very beautiful spaces, with a lot of history and antiquities, without a doubt a great plan","[3, 13, 14]","beautiful, cathedral, history, incredible, many, city, mexico, center, beautiful, historic, service, fast, delicious, food, good"
40,"Beautiful castle in Mexico City's largest forest. Clean, safe, with parking, and steeped in history. You'll find everything you need to enjoy a great day in the city's best forest. You must see it.","[7, 12, 14]","food, service, bad, tacos, order, hotel, location, view, staff, great, service, fast, delicious, food, good"
41,Excellent place to visit with the family and learn about the history of Mexico.,"[1, 4, 14]","love, recommended, highly, expensive, fine, parking, de, casa, dishes, good, service, fast, delicious, food, good"
42,Incredible,[],
43,That Castle and The Hospitality Are Great,[13],"city, mexico, center, beautiful, historic"
44,"One of Mexico City's most beautiful museums, steeped in history and home to great battles. An iconic landmark in the city, with many artifacts to explore to appreciate Mexico's history.","[13, 14]","city, mexico, center, beautiful, historic, service, fast, delicious, food, good"
45,Incredible experience!!,[],
46,Wonderful place!,[4],"parking, de, casa, dishes, good"
47,Super cute.,[],
48,Very beautiful.,"[3, 5]","beautiful, cathedral, history, incredible, many, closed, interesting, noisy, horrible, favorite"
49,Iconic and historic place,[4],"parking, de, casa, dishes, good"
50,From the moment you walk in it's wonderful.,[10],"pretty, negative, cdmx, delivery, positive"
51,"Very nice!! The walk and the view of Mexico City from there are wonderful. That's true, on Sunday mornings, there are a lot of people.","[5, 14]","closed, interesting, noisy, horrible, favorite, service, fast, delicious, food, good"
52,The story is false but the idea is very good... The only Cadets in America.,"[0, 2]","good, beautiful, place, eat, service, family, experience, place, best, nice"
53,"Incredible
A place steeped in history
Visiting Chapultepec Castle was a unique and enriching experience. From the moment you climb the hill, the tour becomes special, as you gradually appreciate the majesty of the castle and the panoramic view of Mexico City. Upon entering, I was impressed by its spacious halls, decorated with antique furniture, mirrors, murals, and details that transport you to another era.",[14],"service, fast, delicious, food, good"
54,Everything is fine,[12],"hotel, location, view, staff, great"
55,Very busy Sunday afternoon visit. Fascinating history of last Emperor of Mexico (Ferdinand). Great views of the city.,"[13, 14]","city, mexico, center, beautiful, historic, service, fast, delicious, food, good"
56,Fairy tale castle on top of a mountain overlooking a park and the city. You will find beautiful artwork throughout and wonderful visas below. Be advised that the climb up can be steep but there is a small train that takes people up. Wear comfortable shoes and be prepared to make an entire day out of the outing by staying around and playing in the park. Bring loose change.,"[7, 14]","food, service, bad, tacos, order, service, fast, delicious, food, good"
57,"An excellent museum that tells the complete story of Mexico. Plus, the city views are incredible for photo ops.",[14],"service, fast, delicious, food, good"
58,A must-see stop in the city,[14],"service, fast, delicious, food, good"
59,"I liked it, but I recommend that you bring water and good shoes, because there is a lot of walking, but the view is worth it.","[2, 10]","family, experience, place, best, nice, pretty, negative, cdmx, delivery, positive"
60,With incredible views,[],
61,"Very beautiful, lots of history","[3, 5, 14]","beautiful, cathedral, history, incredible, many, closed, interesting, noisy, horrible, favorite, service, fast, delicious, food, good"
62,Excellent,[1],"love, recommended, highly, expensive, fine"
63,"I love it, our downtown Mexico City is beautiful.","[3, 10, 14]","beautiful, cathedral, history, incredible, many, pretty, negative, cdmx, delivery, positive, service, fast, delicious, food, good"
64,Great place to walk,"[4, 13]","parking, de, casa, dishes, good, city, mexico, center, beautiful, historic"
65,"A sister place, it's a shame that the teachers of Oaxaca have invaded it with camping houses, there's nowhere to walk ð","[4, 10]","parking, de, casa, dishes, good, pretty, negative, cdmx, delivery, positive"
66,I loved it,[10],"pretty, negative, cdmx, delivery, positive"
67,Good place......,"[2, 4]","family, experience, place, best, nice, parking, de, casa, dishes, good"
68,Excellent place to visit,"[1, 4]","love, recommended, highly, expensive, fine, parking, de, casa, dishes, good"
69,Enjoy the ZÃ³calo esplanade,[],
70,It is very delicious,"[5, 10, 11]","closed, interesting, noisy, horrible, favorite, pretty, negative, cdmx, delivery, positive, excellent, service, place, attention, station"
71,It's wonderful; the church must be one of the oldest in Latin America. All the buildings are spectacular. It's a shame there are so many street vendors. They should create a market and move them somewhere else. You can't even take a photo without a vendor in sight.,[7],"food, service, bad, tacos, order"
72,"Located inside the Paseo Interlomas mall, in a stall near the escalator where the entrepreneur's bazaar is located. I thought they were very good, better than the ones in Valladolid, Yucatan. I recommend the Nutella and Bola cheese one. Very tasty. They sometimes have seasonal promotions. Prices start at 70 pesos for the traditional ones. The service is good.","[0, 2]","good, beautiful, place, eat, service, family, experience, place, best, nice"
73,Regular,[],
74,Good,[2],"family, experience, place, best, nice"
75,Beautiful historic center,[3],"beautiful, cathedral, history, incredible, many"
76,It was a very nice screening of Mexico City,"[5, 10, 14]","closed, interesting, noisy, horrible, favorite, pretty, negative, cdmx, delivery, positive, service, fast, delicious, food, good"
77,"Always something new, definitely a beautiful place","[3, 4]","beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good"
78,"Beautiful, large main square in the center of CDMX. It is definitely worth a walk.","[3, 10, 14]","beautiful, cathedral, history, incredible, many, pretty, negative, cdmx, delivery, positive, service, fast, delicious, food, good"
79,Historic square in the city center,[14],"service, fast, delicious, food, good"
80,It's pretty dirty.,[10],"pretty, negative, cdmx, delivery, positive"
81,Historic and beautiful place cradle of our nation,"[3, 4, 14]","beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good, service, fast, delicious, food, good"
82,As always with a great atmosphere,[13],"city, mexico, center, beautiful, historic"
83,Every day surprises you with some important event or occurrence,[],
84,The city is enjoyed in the morning or late evening when there are not many people.,[],
85,"Years go by and this place is still my favorite, the garden, the views, and the way they keep all the furniture so well cared for amaze me. I hope they don't neglect it.","[0, 7]","good, beautiful, place, eat, service, food, service, bad, tacos, order"
86,Impressive but very very busy on Sundays!,[5],"closed, interesting, noisy, horrible, favorite"
87,Amazing place ð,[4],"parking, de, casa, dishes, good"
88,Beautiful place,"[3, 4]","beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good"
89,"Beautiful place!
It's worth a visit, with time to climb and descend (at least 15 minutes each way). Avoid Sundays, which are very crowded, because Mexicans get free admission, which I think is really cool because usually the free admission is on weekdays when no one can go!!! ðð¼)",[],
90,very father,[5],"closed, interesting, noisy, horrible, favorite"
91,"You should arrive early to avoid long lines. Bring an umbrella in the rain and a good jacket in the cold. On Sundays, admission is free for Mexicans; don't forget your ID.",[7],"food, service, bad, tacos, order"
92,Beautiful ð,[3],"beautiful, cathedral, history, incredible, many"
93,"Great museum!!
Even more so for a historian!!",[13],"city, mexico, center, beautiful, historic"
94,"It is a wonderful thing to appreciate the view and even more so if you go with your family, everything is incredible.","[7, 12]","food, service, bad, tacos, order, hotel, location, view, staff, great"
95,"The central ZÃ³calo is very, very beautiful. On important dates in Mexico, they put up very pretty decorations. I took that photo when it was raining in the center, very nice.
For example, when December approaches, they put up snowmen.
Also in October, they put up the respective offering to celebrate those who unfortunately are no longer here with us, etc.
A very good experience.","[5, 7]","closed, interesting, noisy, horrible, favorite, food, service, bad, tacos, order"
